epoch,train_loss,train_obj_p2,train_obj_p3,train_obj_p4,train_bbox_p2,train_bbox_p3,train_bbox_p4,val_obj_p2,val_obj_p3,val_obj_p4,val_f1_p2,val_f1_p3,val_f1_p4,out_max_p4,out_std_p4,cells_above_03_p4,head_bias_p4,grad_norm,lr,epoch_time_s,gpu_mem_mb,mined
108,1.0257,0.0543,0.0942,0.7772,0.0447,0.0447,0.0105,0.0567,0.0909,0.7864,0.1554,0.2475,0.4639,0.0000,0.0000,0.0,-0.7007,3.6671,0.00018415,201.25,4090.3,0
109,1.0273,0.0545,0.0949,0.7782,0.0446,0.0448,0.0104,0.0566,0.0909,0.7801,0.1524,0.2371,0.4376,0.0000,0.0000,0.0,-0.7000,3.7217,0.00016040,201.92,4050.9,0
110,1.0231,0.0541,0.0940,0.7758,0.0441,0.0445,0.0105,0.0567,0.0910,0.7799,0.1512,0.2582,0.4272,0.9996,0.1419,4483.9,-0.6996,3.7271,0.00013835,199.54,4090.3,0
111,1.0227,0.0544,0.0942,0.7776,0.0442,0.0450,0.0105,0.0574,0.0911,0.7807,0.1628,0.2537,0.4394,0.0000,0.0000,0.0,-0.6995,3.6633,0.00011800,203.03,4050.9,0
112,1.0249,0.0540,0.0942,0.7771,0.0443,0.0449,0.0105,0.0577,0.0913,0.7803,0.1686,0.2642,0.4317,0.0000,0.0000,0.0,-0.6997,3.6563,0.00009937,201.92,4050.9,0
113,1.0246,0.0542,0.0941,0.7766,0.0445,0.0449,0.0104,0.0577,0.0912,0.7814,0.1698,0.2574,0.4438,0.0000,0.0000,0.0,-0.7000,3.6655,0.00008247,199.93,4090.3,0
114,1.0226,0.0537,0.0943,0.7754,0.0443,0.0445,0.0105,0.0565,0.0906,0.7798,0.1542,0.2445,0.4282,0.0000,0.0000,0.0,-0.7001,3.6899,0.00006732,199.23,4090.3,0
115,1.0234,0.0540,0.0941,0.7765,0.0439,0.0446,0.0103,0.0571,0.0909,0.7817,0.1615,0.2515,0.4483,0.0000,0.0000,0.0,-0.7005,3.5039,0.00005392,202.16,4090.3,0
116,1.0238,0.0546,0.0941,0.7759,0.0439,0.0447,0.0105,0.0571,0.0910,0.7804,0.1604,0.2518,0.4394,0.0000,0.0000,0.0,-0.6997,3.4223,0.00004230,201.02,4090.3,0
117,1.0228,0.0540,0.0938,0.7750,0.0448,0.0446,0.0106,0.0572,0.0910,0.7798,0.1615,0.2467,0.4322,0.0000,0.0000,0.0,-0.6998,3.2551,0.00003244,199.38,4050.9,0
118,1.0242,0.0545,0.0944,0.7757,0.0446,0.0446,0.0105,0.0570,0.0908,0.7804,0.1582,0.2430,0.4422,0.0000,0.0000,0.0,-0.6998,3.1923,0.00002437,199.66,4090.3,0
119,1.0216,0.0539,0.0938,0.7757,0.0446,0.0446,0.0103,0.0569,0.0909,0.7802,0.1592,0.2532,0.4342,0.0000,0.0000,0.0,-0.6997,2.8356,0.00001809,201.34,4090.3,0
120,1.0238,0.0538,0.0934,0.7766,0.0446,0.0448,0.0105,0.0568,0.0909,0.7822,0.1568,0.2541,0.4511,0.9929,0.1149,2640.5,-0.6998,2.5252,0.00001360,201.97,4090.3,0
